2017/03/13 Mon 10:00:45,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:47,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:48,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:49,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:50,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:51,-19,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:52,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:52,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:53,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:54,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:55,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:56,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:57,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:58,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:00:59,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:00,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:01,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:02,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:03,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:04,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:05,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:07,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:08,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:09,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:10,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:11,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:12,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:12,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:13,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:14,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:15,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:16,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:17,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:18,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:19,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:20,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:21,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:22,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:24,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:25,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:26,-21,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:27,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:28,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:29,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:30,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:31,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:31,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:32,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:33,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:34,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:35,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:36,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:37,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:38,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:39,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:40,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
2017/03/13 Mon 10:01:41,-20,1234567890abcdefghijklmnopqrstuvwxyz,OK
